event_date	event_type	name	isin	rating_input	formula	scenario_coupon_rate_pct	price_pct	price_source	current_face	initial_face	nkd	clean_rub	dirty_rub	current_coupon_yield_pct	amortizations_to_event	put_offers	call_offers	maturity	settle_date	days	simple_yield_pct	xirr_pct	moex_yield_pct	profit_rub	note
2027-02-12	Погашение	Газпром нефть 003P-10R	RU000A107UW1	AAA	КС + 1.30 п.п.	15.3	100.19	OFFER	1000.0	1000.0	3.35	1001.9	1005.25	15.270985	[{"date":"2027-02-12","amount":1000.0}]	[]	[]	2027-02-12	2026-09-23	142	14.735141	15.837994	15.77	57.626712	5 куп. рассчитано по КС=14%+спред
2027-02-13	Погашение	МегаФон 002P-05	RU000A108Q94	AAA	КС + 1.10 п.п.	15.1	100.15	OFFER	1000.0	1000.0	3.31	1001.5	1004.81	15.077384	[{"date":"2027-02-13","amount":1000.0}]	[]	[]	2027-02-13	2026-09-23	143	14.646578	15.556814	15.24	57.658493	2 куп. рассчитано по КС=14%+спред
2027-03-06	Погашение	РУСАЛ 001P-10	RU000A109JZ3	A+	КС + 2.25 п.п.	16.25	100.38	OFFER	1000.0	1000.0	7.12	1003.8	1010.92	16.188484	[{"date":"2027-03-06","amount":1000.0}]	[]	[]	2027-03-06	2026-09-23	164	15.238595	16.496522	16.15	69.216986	6 куп. рассчитано по КС=14%+спред
2027-03-10	Погашение	Металлоинвест 001P-13	RU000A10B4D8	AAA	КС + 1.90 п.п.	15.9	100.34	OFFER	1000.0	1000.0	5.23	1003.4	1008.63	15.846123	[{"date":"2027-03-10","amount":1000.0}]	[]	[]	2027-03-10	2026-09-23	168	15.031026	16.221185	16.12	69.780959	6 куп. рассчитано по КС=14%+спред
2027-03-11	Погашение	Синара ТМ 1P5	RU000A10B2X0	A	КС + 5.00 п.п.	19.0	101.1	OFFER	1000.0	1000.0	5.73	1011.0	1016.73	18.793274	[{"date":"2027-03-11","amount":1000.0}]	[]	[]	2027-03-11	2026-09-23	169	16.349869	17.820016	17.3	76.96863	6 куп. рассчитано по КС=14%+спред
2027-04-08	Погашение	Балтийский лизинг БО-П10	RU000A108777	AA-	КС + 2.30 п.п.	16.3	90.19	OFFER	700.0	1000.0	4.06	631.33	635.39	18.072957	[{"date":"2026-10-10","amount":100.0},{"date":"2026-11-09","amount":100.0},{"date":"2026-12-09","amount":100.0},{"date":"2027-01-08","amount":100.0},{"date":"2027-02-07","amount":100.0},{"date":"2027-03-09","amount":100.0},{"date":"2027-04-08","amount":100.0}]	[]	[]	2027-04-08	2026-09-23	197	37.982707	92.694322	69.64	130.256575	7 куп. рассчитано по КС=14%+спред
2027-04-11	Погашение	Яндекс 001Р-01	RU000A10BF48	AAA	КС + 1.70 п.п.	15.7	100.68	OFFER	1000.0	1000.0	4.3	1006.8	1011.1	15.593961	[{"date":"2027-04-11","amount":1000.0}]	[]	[]	2027-04-11	2026-09-23	200	14.300514	15.3898	14.96	79.228767	7 куп. рассчитано по КС=14%+спред
2027-04-15	Погашение	МегаФон 002P-07	RU000A109SZ4	AAA	КС + 1.30 п.п.	15.3	100.29	OFFER	1000.0	1000.0	29.03	1002.9	1031.93	15.255758	[{"date":"2027-04-15","amount":1000.0}]	[]	[]	2027-04-15	2026-09-23	204	14.305267	15.53774	15.11	82.505616	3 куп. рассчитано по КС=14%+спред
2027-05-20	Погашение	Ростелеком 001P-07R	RU000A108GR8	AA+	КС + 1.20 п.п.	15.2	100.2	OFFER	1000.0	1000.0	14.16	1002.0	1016.16	15.169661	[{"date":"2027-05-20","amount":1000.0}]	[]	[]	2027-05-20	2026-09-23	239	14.657528	15.695589	15.09	97.527671	3 куп. рассчитано по КС=14%+спред
2027-05-23	Погашение	Селектел 001P-05R	RU000A10A7S0	AA-	КС + 4.00 п.п.	18.0	102.07	OFFER	1000.0	1000.0	13.81	1020.7	1034.51	17.634956	[{"date":"2027-05-23","amount":1000.0}]	[]	[]	2027-05-23	2026-09-23	242	14.380665	15.736315	15.22	98.636164	8 куп. рассчитано по КС=14%+спред
2027-05-30	Погашение	Россети Моск. регион 1Р06	RU000A108P61	AAA	КС + 1.15 п.п.	15.15	100.15	OFFER	1000.0	1000.0	8.72	1001.5	1010.22	15.127309	[{"date":"2027-05-30","amount":1000.0}]	[]	[]	2027-05-30	2026-09-23	249	14.778263	15.978414	15.5	101.846438	8 куп. рассчитано по КС=14%+спред
2027-06-09	Погашение	Балтийский лизинг БО-П11	RU000A108P46	AA-	КС + 2.30 п.п.	16.3	78.8	OFFER	1000.0	1000.0	4.91	788.0	792.91	20.685279	[{"date":"2027-06-09","amount":1000.0}]	[]	[]	2027-06-09	2026-09-23	259	58.237096	67.578828	66.78	327.665342	9 куп. рассчитано по КС=14%+спред
2027-06-17	Погашение	РУСАЛ 001P-09	RU000A108VW7	A+	КС + 2.20 п.п.	16.2	100.58	OFFER	1000.0	1000.0	1.33	1005.8	1007.13	16.106582	[{"date":"2027-06-17","amount":1000.0}]	[]	[]	2027-06-17	2026-09-23	267	15.298246	16.485653	15.96	112.705616	9 куп. рассчитано по КС=14%+спред
2027-06-18	Погашение	Авто Финанс Банк 001Р-12	RU000A108RP9	AA	КС + 2.20 п.п.	16.2	100.38	OFFER	1000.0	1000.0	2.22	1003.8	1006.02	16.138673	[{"date":"2027-06-18","amount":1000.0}]	[]	[]	2027-06-18	2026-09-23	268	15.588638	16.578245	15.94	115.148082	2 куп. рассчитано по КС=14%+спред
2027-06-18	Погашение	Биннофарм 002Р-01	RU000A10CUB0	A	КС + 2.50 п.п.	16.5	99.8	OFFER	1000.0	1000.0	1.02	998.0	999.02	16.533066	[{"date":"2027-06-18","amount":1000.0}]	[]	[]	2027-06-18	2026-09-23	268	16.773042	18.127078	18.95	123.034795	9 куп. рассчитано по КС=14%+спред
2027-06-24	Погашение	Европлан 001P-07	RU000A108Y86	AA	КС + 1.90 п.п.	15.9	100.24	OFFER	1000.0	1000.0	11.33	1002.4	1013.73	15.861931	[{"date":"2026-09-27","amount":250.0},{"date":"2026-12-26","amount":250.0},{"date":"2027-03-26","amount":250.0},{"date":"2027-06-24","amount":250.0}]	[]	[]	2027-06-24	2026-09-23	274	15.368948	34.330854	16.31	116.956438	9 куп. рассчитано по КС=14%+спред
2027-07-04	Погашение	Группа Позитив 001Р-01	RU000A109098	AA	КС + 1.70 п.п.	15.7	100.6	OFFER	1000.0	1000.0	6.88	1006.0	1012.88	15.606362	[{"date":"2027-07-04","amount":1000.0}]	[]	[]	2027-07-04	2026-09-23	284	14.739313	15.935173	15.35	116.161096	10 куп. рассчитано по КС=14%+спред
2027-07-15	Погашение	Черкизово 001Р-07	RU000A1094F2	AA	КС + 1.35 п.п.	15.35	100.49	OFFER	1000.0	1000.0	2.1	1004.9	1007.0	15.275152	[{"date":"2027-07-15","amount":1000.0}]	[]	[]	2027-07-15	2026-09-23	295	14.641577	15.736046	15.13	119.164384	10 куп. рассчитано по КС=14%+спред
2027-07-22	Погашение	Самолет БО-П14	RU000A1095L7	A+	КС + 2.75 п.п.	16.75	69.33	OFFER	1000.0	1000.0	12.85	693.3	706.15	24.159815	[{"date":"2027-07-22","amount":1000.0}]	[]	[]	2027-07-22	2026-09-23	302	76.21371	89.773671	88.59	445.291233	10 куп. рассчитано по КС=14%+спред
2027-07-27	Погашение	Акрон 001Р-06	RU000A10AA28	AA	КС + 3.25 п.п.	17.25	101.39	OFFER	800.0	1000.0	8.7	811.12	819.82	17.013512	[{"date":"2026-10-30","amount":200.0},{"date":"2027-01-28","amount":200.0},{"date":"2027-04-28","amount":200.0},{"date":"2027-07-27","amount":200.0}]	[]	[]	2027-07-27	2026-09-23	307	15.219357	30.249663	14.6	104.944658	10 куп. рассчитано по КС=14%+спред
2027-08-02	Погашение	Практика ЛК 001Р-03	RU000A108Z77	A	КС + 2.60 п.п.	16.6	99.47	OFFER	307.5	1000.0	3.92	305.87025	309.79025	16.688449	[{"date":"2026-09-26","amount":27.7},{"date":"2026-10-27","amount":27.7},{"date":"2026-11-27","amount":27.7},{"date":"2026-12-28","amount":27.7},{"date":"2027-01-28","amount":27.7},{"date":"2027-02-28","amount":27.7},{"date":"2027-03-31","amount":27.7},{"date":"2027-05-01","amount":27.7},{"date":"2027-06-01","amount":27.7},{"date":"2027-07-02","amount":27.7},{"date":"2027-08-02","amount":30.5}]	[]	[]	2027-08-02	2026-09-23	313	8.996512	19.404862	19.4	23.89975	
2027-08-04	Погашение	Ростелеком 001P-09R	RU000A1095W4	AA+	КС + 1.15 п.п.	15.15	100.0	OFFER	1000.0	1000.0	20.34	1000.0	1020.34	15.15	[{"date":"2027-08-04","amount":1000.0}]	[]	[]	2027-08-04	2026-09-23	315	14.847805	16.008841	15.35	130.744932	4 куп. рассчитано по КС=14%+спред
2027-08-05	Погашение	НоваБев Групп 002P-07	RU000A1099A2	AA	КС + 1.40 п.п.	15.4	100.1	OFFER	1000.0	1000.0	5.91	1001.0	1006.91	15.384615	[{"date":"2027-08-05","amount":1000.0}]	[]	[]	2027-08-05	2026-09-23	316	15.179524	16.390845	15.82	132.325342	10 куп. рассчитано по КС=14%+спред
2027-08-08	Погашение	Совкомбанк Лизинг БО-П07	RU000A1099V8	AA-	КС + 2.00 п.п.	16.0	100.09	OFFER	615.0	1000.0	2.97	615.5535	618.5235	15.985613	[{"date":"2026-10-12","amount":55.0},{"date":"2026-11-11","amount":55.0},{"date":"2026-12-11","amount":55.0},{"date":"2027-01-10","amount":55.0},{"date":"2027-02-09","amount":55.0},{"date":"2027-03-11","amount":55.0},{"date":"2027-04-10","amount":55.0},{"date":"2027-05-10","amount":55.0},{"date":"2027-06-09","amount":55.0},{"date":"2027-07-09","amount":55.0},{"date":"2027-08-08","amount":65.0}]	[]	[]	2027-08-08	2026-09-23	319	15.805626	32.553609	16.75	85.440884	11 куп. рассчитано по КС=14%+спред
2027-08-19	Погашение	Интерлизинг 001Р-09	RU000A109DV5	A	КС + 2.60 п.п.	16.6	100.49	OFFER	480.0	1000.0	0.0	482.352	482.352	16.519057	[{"date":"2026-10-23","amount":40.0},{"date":"2026-11-22","amount":40.0},{"date":"2026-12-22","amount":40.0},{"date":"2027-01-21","amount":40.0},{"date":"2027-02-20","amount":40.0},{"date":"2027-03-22","amount":40.0},{"date":"2027-04-21","amount":40.0},{"date":"2027-05-21","amount":40.0},{"date":"2027-06-20","amount":40.0},{"date":"2027-07-20","amount":40.0},{"date":"2027-08-19","amount":40.0}]	[]	[]	2027-08-19	2026-09-23	330	15.853831	29.789736	16.11	69.138411	10 куп. рассчитано по КС=14%+спред
2027-08-20	Погашение	ТрансКонтейнер П02-01	RU000A109E71	AA-	КС + 1.75 п.п.	15.75	99.15	OFFER	1000.0	1000.0	12.51	991.5	1004.01	15.885023	[{"date":"2027-08-20","amount":1000.0}]	[]	[]	2027-08-20	2026-09-23	331	16.621595	18.11989	17.39	151.33726	11 куп. рассчитано по КС=14%+спред
2027-08-25	Погашение	Балтийский лизинг БО-П12	RU000A109551	AA-	КС + 2.30 п.п.	16.3	79.24	OFFER	1000.0	1000.0	10.72	792.4	803.12	20.570419	[{"date":"2027-02-26","amount":500.0},{"date":"2027-08-25","amount":500.0}]	[]	[]	2027-08-25	2026-09-23	336	48.37614	80.237154	69.54	357.649863	11 куп. рассчитано по КС=14%+спред
2027-09-02	Погашение	Ростелеком 001P-08R	RU000A108LF3	AA+	КС + 1.15 п.п.	15.15	100.3	OFFER	1000.0	1000.0	8.3	1003.0	1011.3	15.104686	[{"date":"2027-09-02","amount":1000.0}]	[]	[]	2027-09-02	2026-09-23	344	14.666104	15.63131	14.91	139.784932	4 куп. рассчитано по КС=14%+спред
2027-09-09	Погашение	РОЛЬФ 001Р-03	RU000A109LC8	A	КС + 3.00 п.п.	17.0	96.21	OFFER	1000.0	1000.0	4.19	962.1	966.29	17.669681	[{"date":"2027-09-09","amount":1000.0}]	[]	[]	2027-09-09	2026-09-23	351	21.671633	23.622108	22.76	201.37863	11 куп. рассчитано по КС=14%+спред
2027-09-13	Погашение	Ростелеком 001P-11R	RU000A109JS8	AA+	КС + 1.20 п.п.	15.2	100.2	OFFER	1000.0	1000.0	3.75	1002.0	1005.75	15.169661	[{"date":"2027-09-13","amount":1000.0}]	[]	[]	2027-09-13	2026-09-23	355	14.908431	15.830243	15.07	145.833562	4 куп. рассчитано по КС=14%+спред
2027-09-14	Погашение	КАМАЗ БО-П12	RU000A109JW0	A	КС + 1.50 п.п.	15.5	96.95	OFFER	1000.0	1000.0	3.4	969.5	972.9	15.987622	[{"date":"2027-09-14","amount":1000.0}]	[]	[]	2027-09-14	2026-09-23	356	19.145674	20.387508	19.79	181.675342	4 куп. рассчитано по КС=14%+спред
2027-09-16	Погашение	АФК Система 002Р-05	RU000A10CU55	AA-	КС + 3.50 п.п.	17.5	98.45	OFFER	1000.0	1000.0	0.96	984.5	985.46	17.775521	[{"date":"2027-09-16","amount":1000.0}]	[]	[]	2027-09-16	2026-09-23	358	19.361715	21.039937	20.22	187.14274	12 куп. рассчитано по КС=14%+спред
2027-09-17	Погашение	Авто Финанс Банк 001Р-13	RU000A109KY4	AA	КС + 2.30 п.п.	16.3	100.64	OFFER	1000.0	1000.0	2.23	1006.4	1008.63	16.196343	[{"date":"2027-09-17","amount":1000.0}]	[]	[]	2027-09-17	2026-09-23	359	15.515861	16.516921	15.77	153.925068	3 куп. рассчитано по КС=14%+спред
2027-09-17	Погашение	ЯТЭК 001Р-04	RU000A109NF7	A	КС + 2.50 п.п.	16.5	100.36	OFFER	1000.0	1000.0	0.45	1003.6	1004.05	16.440813	[{"date":"2027-09-17","amount":1000.0}]	[]	[]	2027-09-17	2026-09-23	359	16.069112	17.346531	16.56	158.689726	12 куп. рассчитано по КС=14%+спред
2027-09-22	Погашение	ВИС Финанс БО-П06	RU000A109KX6	A+	КС + 3.25 п.п.	17.25	98.85	OFFER	1000.0	1000.0	0.0	988.5	988.5	17.450683	[{"date":"2027-09-22","amount":1000.0}]	[]	[]	2027-09-22	2026-09-23	364	18.617258	19.869949	19.08	183.527397	4 куп. рассчитано по КС=14%+спред
2027-09-24	Погашение	Росагролизинг 002P-03	RU000A109DT9	AA-	КС + 1.70 п.п.	15.7	99.87	OFFER	1000.0	1000.0	2.58	998.7	1001.28	15.720437	[{"date":"2027-09-24","amount":1000.0}]	[]	[]	2027-09-24	2026-09-23	366	15.809491	17.039424	16.33	158.730959	12 куп. рассчитано по КС=14%+спред
2027-10-08	Погашение	Атомэнергопром 001Р-03	RU000A109UD7	AAA	КС + 1.25 п.п.	15.25	100.42	OFFER	1000.0	1000.0	4.18	1004.2	1008.38	15.186218	[{"date":"2027-10-08","amount":1000.0}]	[]	[]	2027-10-08	2026-09-23	380	14.723016	15.859563	15.09	154.565205	13 куп. рассчитано по КС=14%+спред
2027-10-10	Погашение	Совкомбанк БО-П05	RU000A109VL8	AA	КС + 2.00 п.п.	16.0	100.67	OFFER	1000.0	1000.0	3.51	1006.7	1010.21	15.893513	[{"date":"2027-10-10","amount":1000.0}]	[]	[]	2027-10-10	2026-09-23	382	15.20428	16.422738	15.65	160.748904	13 куп. рассчитано по КС=14%+спред
2027-10-14	Погашение	Акрон 001Р-05	RU000A109XR1	AA	КС + 1.75 п.п.	15.75	100.75	OFFER	800.0	1000.0	1.38	806.0	807.38	15.632754	[{"date":"2026-10-19","amount":100.0},{"date":"2027-01-17","amount":100.0},{"date":"2027-04-17","amount":100.0},{"date":"2027-07-16","amount":100.0},{"date":"2027-10-14","amount":400.0}]	[]	[]	2027-10-14	2026-09-23	386	14.903416	22.93162	15.03	127.250137	13 куп. рассчитано по КС=14%+спред
2027-10-14	Погашение	Р-Вижн 001Р-01	RU000A109T41	A+	КС + 2.75 п.п.	16.75	100.82	OFFER	1000.0	1000.0	31.78	1008.2	1039.98	16.613767	[{"date":"2027-10-14","amount":1000.0}]	[]	[]	2027-10-14	2026-09-23	386	15.349986	16.834894	16.11	168.82137	5 куп. рассчитано по КС=14%+спред
2027-10-15	Погашение	ПСБ 003P-09	RU000A109TJ6	AAA	КС + 1.50 п.п.	15.5	100.34	OFFER	1000.0	1000.0	9.77	1003.4	1013.17	15.447479	[{"date":"2027-10-15","amount":1000.0}]	[]	[]	2027-10-15	2026-09-23	387	14.981339	16.24511	15.47	160.935205	13 куп. рассчитано по КС=14%+спред
2027-10-24	Погашение	ГПБ Финанс 001Р-02Р	RU000A109R19	AA+	КС + 1.50 п.п.	15.5	100.39	OFFER	1000.0	1000.0	25.1	1003.9	1029.0	15.439785	[{"date":"2027-10-24","amount":1000.0}]	[]	[]	2027-10-24	2026-09-23	396	14.70978	15.958022	15.98	164.219178	5 куп. рассчитано по КС=14%+спред
2027-11-07	Погашение	Интерлизинг 001Р-10	RU000A10A4N8	A	КС + 4.50 п.п.	18.5	101.5	PREVLEGALCLOSEPRICE/PREVPRICE	560.0	1000.0	2.84	568.4	571.24	18.226601	[{"date":"2026-10-13","amount":40.0},{"date":"2026-11-12","amount":40.0},{"date":"2026-12-12","amount":40.0},{"date":"2027-01-11","amount":40.0},{"date":"2027-02-10","amount":40.0},{"date":"2027-03-12","amount":40.0},{"date":"2027-04-11","amount":40.0},{"date":"2027-05-11","amount":40.0},{"date":"2027-06-10","amount":40.0},{"date":"2027-07-10","amount":40.0},{"date":"2027-08-09","amount":40.0},{"date":"2027-09-08","amount":40.0},{"date":"2027-10-08","amount":40.0},{"date":"2027-11-07","amount":40.0}]	[]	[]	2027-11-07	2026-09-23	410	16.827407	35.314866	16.38	107.97589	13 куп. рассчитано по КС=14%+спред
2027-11-09	Погашение	Альфа-Лизинг БО-02	RU000A10A1N4	AA-	КС + 3.00 п.п.	17.0	100.9	OFFER	1000.0	1000.0	20.21	1009.0	1029.21	16.848365	[{"date":"2027-11-09","amount":1000.0}]	[]	[]	2027-11-09	2026-09-23	412	15.727104	17.069932	16.65	182.707808	5 куп. рассчитано по КС=14%+спред
2027-11-12	Погашение	ГТЛК 002P-06	RU000A10A5H7	AA-	КС + 5.00 п.п.	19.0	102.69	OFFER	1000.0	1000.0	2.6	1026.9	1029.5	18.502288	[{"date":"2027-11-12","amount":1000.0}]	[]	[]	2027-11-12	2026-09-23	415	16.157686	17.680606	6.06	189.130137	14 куп. рассчитано по КС=14%+спред
2027-11-18	Погашение	Европлан 001P-08	RU000A10A7C4	AA	КС + 4.00 п.п.	18.0	102.5	OFFER	1000.0	1000.0	14.3	1025.0	1039.3	17.560976	[{"date":"2027-02-21","amount":250.0},{"date":"2027-05-22","amount":250.0},{"date":"2027-08-20","amount":250.0},{"date":"2027-11-18","amount":250.0}]	[]	[]	2027-11-18	2026-09-23	421	15.233588	24.593319	15.02	182.613288	14 куп. рассчитано по КС=14%+спред
2027-11-23	Погашение	Металлоинвест 001P-06	RU000A1079S6	AAA	КС + 1.20 п.п.	15.2	99.19	OFFER	1000.0	1000.0	12.08	991.9	1003.98	15.324125	[{"date":"2027-11-23","amount":1000.0}]	[]	[]	2027-11-23	2026-09-23	426	15.830726	16.940383	16.24	185.499452	5 куп. рассчитано по КС=14%+спред
2027-11-24	Погашение	АФК Система 002Р-07	RU000A10DPV6	AA-	КС + 4.50 п.п.	18.5	99.8	OFFER	1000.0	1000.0	11.66	998.0	1009.66	18.537074	[{"date":"2027-11-24","amount":1000.0}]	[]	[]	2027-11-24	2026-09-23	427	18.492116	20.37879	19.65	218.422192	15 куп. рассчитано по КС=14%+спред
2027-12-05		Совком Секьюритиз 001Р-01	RU000A10AF64																						
2027-12-13	Погашение	АЛРОСА 002Р-01	RU000A10DY92	AAA	КС + 1.35 п.п.	15.35	100.93	OFFER	1000.0	1000.0	1.68	1009.3	1010.98	15.20856	[{"date":"2027-12-13","amount":1000.0}]	[]	[]	2027-12-13	2026-09-23	446	14.430632	15.521244	14.81	178.266575	15 куп. рассчитано по КС=14%+спред
